Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1,Node ASSEMBLY.1
RF,RF,RF,U,U,U
1,2,3,1,2,3
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
-nan(ind),-nan(ind),-nan(ind),0.0,0.0,0.0
